ID	103post	103pre	104post	104pre	107post	107pre	109post	109pre	111post	111pre	116post	116pre	118post	118pre	119post	119pre	123post	123pre	124post	124pre	127post	127pre	130post	130pre	133post	133pre	138post	138pre	139post	139pre	140post	140pre
f01167cfcdeab9665a07bcb664e714e9	0	0	0	0	83	134	0	0	0	20	0	21	23	158	0	0	30	0	0	0	0	0	0	0	0	0	12	14	140	47	34	6
eae0738ba858df2d22433de0913bc58c	32	15	506	409	372	241	0	0	55	0	0	107	74	135	89	39	68	0	0	0	567	453	196	175	0	0	100	37	106	119	234	264
b167ad9fdf6c2158e6e90d7756049242	189	30	200	78	41	103	164	74	123	109	0	25	16	0	0	0	83	0	57	0	97	193	61	48	0	0	149	61	66	84	168	234
29a9aad667398c46822290d2f9a4bed6	8	9	0	0	97	58	0	0	10	7	0	0	0	0	80	67	0	0	0	0	0	0	50	24	0	0	73	40	52	45	25	82
c5c368fa5d36912d8a01dbdf80cf9aea	15	0	53	12	60	16	31	10	0	50	18	18	0	42	156	12	14	27	0	0	0	0	23	0	0	105	0	0	0	0	32	11
11b6e085e506436abb45e998147d138a	251	0	188	128	0	80	19	0	38	0	0	0	341	91	0	72	64	0	97	21	0	0	85	43	12	0	26	0	26	0	46	98
6c91b03edc155703d03eca97c5a2597b	271	115	0	0	0	0	0	0	455	232	0	0	0	0	0	38	0	0	151	355	0	0	0	0	0	0	344	48	0	0	411	812
673cdcc11571eff632f9639adc4aa4b2	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
499c26dbde4691c9dd12aa4400bce7be	0	0	153	0	0	0	0	0	59	41	0	82	57	0	110	45	0	0	0	0	0	0	0	0	0	0	53	31	0	0	61	0
7a788fd4ad85a44927663c33ca823af9	0	0	146	63	0	15	0	0	102	65	0	51	18	0	16	0	0	0	18	6	0	0	18	57	0	0	0	0	0	0	0	0
8622987ddfa6f1a7d9909f49018cb1f1	51	8	76	17	156	28	17	0	0	7	81	9	16	0	20	10	17	34	19	0	71	27	35	20	15	0	73	0	71	8	129	65
5c4c361695cb59f119cdf583d315aee9	0	0	59	24	0	0	70	87	24	52	0	51	0	0	35	44	0	0	0	0	141	108	0	0	0	0	112	57	16	0	13	20
5743f98d73beef7333f75b4a06355a05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	6
bad5797a61879ba862a8f626a87d1b17	0	0	49	57	12	441	0	0	192	90	0	0	0	0	0	31	0	0	0	0	38	48	0	17	0	0	73	0	0	0	74	69
4d1dd1ab6d69c263ce76517dcdfaf4a9	0	0	60	88	0	38	48	69	0	0	0	0	89	36	98	106	24	0	0	0	41	43	0	0	0	0	40	0	0	0	0	0
9b119c3c0fa910deca32fd7571866de7	37	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0
a8950ea716619e3682e2a34473e5adc7	86	0	116	42	0	0	0	0	68	0	0	0	28	0	0	0	0	0	0	0	31	21	38	0	0	0	0	0	126	32	48	27
98be5346ef1749fd281504e99abf8548	0	0	0	0	17	15	0	0	15	30	0	34	0	0	21	17	16	0	0	0	0	0	18	23	0	0	21	29	11	0	47	42
46e8089f9df0f7a608bcbf5fc3084648	34	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	28	0	0	0	0	0	0	0	56	13	82	0	0	0
d963b59f19db6517a9f26908f684545d	0	0	0	57	0	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17f016e3298748a0eb03b67eb9267a19	0	0	0	0	0	0	5	0	0	7	0	0	0	8	8	0	0	0	0	0	22	79	0	0	0	155	0	0	7	6	0	0
fbd24a58a73dc247aa8bd2e8ab4f1bb2	310	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	331	0	0	0	0	0	0	0	0	0	0	0	0
4d4e84214dfdd2547dd11b167fb4f1dd	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
836b74915e12f96682e46e9e8eb909b5	0	0	0	0	0	0	0	0	101	42	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	662	87	0	0	0	0
